,,,Hydrozoa,Nemata,Oligochaeta,Turbellaria,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Plecoptera,Plecoptera,Plecoptera,Plecoptera,Plecoptera,Plecoptera,Plecoptera,Plecoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Megaloptera,Megaloptera,Odonata,Odonata,Odonata,Odonata,Odonata,Odonata,Odonata,Odonata,Hirudinea,Hirudinea,Hirudinea,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Heteroptera,Heteroptera,Heteroptera,Heteroptera,Heteroptera,Heteroptera,Heteroptera,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Arachnida,Isopoda,Bivalvia,,,,,,,,,,,,
Watershed,Site,Year,Hydrozoa,Nemata,Oligochaeta,Turbellaria,Chrysomelidae,Circulionidae,Dryopidae,Dytiscidae,Elmidae,Gyrinidae,Haliplidae,Hydraenidae,Hydrophilidae,Noteridae,Psephenidae,Scirtidae,Athericidae,Ceratopogonidae,Chaboridae,Chironomidae,Culicidae,Dixidae,Dolichopodidae,Empididae,Ephydridae,Psychodidae,Ptychopteridae,Sciomyzidae,Simuliidae,Stratiomyidae,Tabanidae,Tipulidae,Baetidae,Caenidae,Ephemerellidae,Ephemeridae,Heptageniidae,Isonychiidae,Leptohyphidae,Leptophlebiidae,Siphlonuridae,Capniidae,Chloroperlidae,Leuctridae,Nemouridae,Perlidae,Perlodidae,Taeniopterygidae,Pteronarcyidae,Brachycentridae,Glossosomatidae,Goeridae,Helicopsychidae,Hydropsychidae,Hydroptilidae,Lepidostomatidae,Leptoceridae,Limnephilidae,Molannidae,Philopotamidae,Phryganeidae,Polycentropodidae,Psychomyiidae,Rhyacophilidae,Uenoidae,Corydalidae,Sialidae,Aeshnidae,Calopterygidae,Coenagrionidae,Corduliidae,Cordulegastridae,Gomphidae,Lestidae,Libellulidae,Erpobdellidae,Glossiphoniidae,Hirudinidea,Corophiidae,Crangonyctidae,Gammaridae,Hyalellidae,Belostomatidae,Corixidae,Gerridae,Hebridae,Notonectidae,Pleidae,Veliidae,Ancylidae,Bithnyiidae,Hydrobiidae,Lymnaeidae,Physidae,Planorbidae,Arachnida,Asellidae,Sphaeriidae,Escarpment,LandDisturbanceIndex,BFI,Area,D50Point,ProportionStableBanks,Width/Depth,Wetlandarea,ShapFactr,ChSlp_Pcnt,Precipitation,Referencesites
APB,19,2008,0,0,155,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0.332949014,0.384554,12015425,20,0.85,74.12101048,0,24.254,1.3,405.2,0
APB,19,2010,0,0,87,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,148,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0.332949014,0.384554,12015425,20,0.85,74.12101048,0,24.254,1.3,288.1,0
APB,19,2012,0,0,161,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,72,0,0,0,0,25,2,0,0.332949014,0.384554,12015425,20,0.85,74.12101048,0,24.254,1.3,162.5,0
APB,19,2014,0,0,37,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,232,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,57,0,0,2,35,3,0,0.332949014,0.384554,12015425,20,0.85,74.12101048,0,24.254,1.3,316.9,0
APB,5,2008,0,0,65,37,0,0,0,2,2,0,2,0,0,0,0,0,0,4,0,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0.244449713,0.372923,5555500,0.075,0.635964912,19.61428228,0,16.726,1.68,405.2,0
APB,5,2010,0,0,65,75,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,152,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.244449713,0.372923,5555500,0.075,0.635964912,19.61428228,0,16.726,1.68,288.1,0
APB,5,2012,0,1,74,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,30,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,67,0,0,0.244449713,0.372923,5555500,0.075,0.635964912,19.61428228,0,16.726,1.68,162.5,0
APB,5,2014,0,0,56,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,179,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,67,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,12,0,0.244449713,0.372923,5555500,0.075,0.635964912,19.61428228,0,16.726,1.68,316.9,0
BRO,10,2007,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,70,0,0,0,7,0,0,0,0,82,0,0,7,46,0,58,0,3,0,0,11,0,0,0,0,91,4,0,0,0,0,1,0,0,12,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.102793103,0.57406,40673850,67,0.736842105,69.69734404,0.107058044,16.055,0.495,277.9,1
BRO,10,2010,0,0,5,0,0,0,0,0,47,0,0,0,0,0,1,0,0,4,0,80,0,0,0,10,0,2,1,0,3,0,0,2,27,0,12,0,6,1,0,19,0,0,0,34,20,2,8,0,0,0,0,0,0,9,5,0,1,1,0,3,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.102793103,0.57406,40673850,67,0.736842105,69.69734404,0.107058044,16.055,0.495,288.1,1
BRO,10,2012,0,0,6,1,0,0,0,0,66,0,0,0,0,0,1,0,0,1,0,28,0,0,0,0,0,0,0,0,7,0,0,12,35,0,23,0,6,0,0,12,0,1,0,1,80,5,8,0,0,2,0,0,1,19,9,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.102793103,0.57406,40673850,67,0.736842105,69.69734404,0.107058044,16.055,0.495,162.5,1
BRO,10,2014,0,0,12,1,0,0,0,1,73,0,0,0,0,0,2,0,0,0,0,3,0,0,0,6,0,1,0,0,3,0,0,13,94,0,13,0,1,1,0,24,0,0,0,2,18,6,10,0,0,0,1,0,0,25,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0.102793103,0.57406,40673850,67,0.736842105,69.69734404,0.107058044,16.055,0.495,316.9,0
BRO,118,2007,0,1,26,0,0,0,0,0,51,0,0,0,0,0,0,0,0,1,0,110,0,0,0,3,0,0,0,0,2,0,0,7,0,1,33,0,6,0,0,1,0,0,0,0,3,2,0,0,1,4,1,0,66,63,0,0,10,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102418263,0.605368,204009026,18,0.5,55.47253995,0.139043729,16.846,0.344,277.9,0
